Names,Tickers
ABB India Limited,ABB.BO
Aegis Logistics Ltd.,AEGISLOG.BO
Amara Raja Energy & Mobility Limited,ARE&M.BO
"Ambalal Sarabhai Enterprise Ltd.,",AMBALALSA.BO
"Andhra Petrochemicals Ltd.,",ANDHRAPET.BO
UTIQUE ENTERPRISES LIMITED,UTIQUE.BO
Aruna Hotels Ltd.,ARUNAHTEL.BO
"Bombay Dyeing & Mfg. Co. Ltd.,",BOMDYEING.BO
Asian Hotels (North) Limited,ASIANHOTNR.BO
"Atul Limited.,",ATUL.BO
ATV Projects India Ltd,ATVPR.BO
"Bajaj Electricals Ltd.,",BAJAJELEC.BO
Bajaj Hindusthan Sugar Limited,BAJAJHIND.BO
Force Motors Limited,FORCEMOT.BO
Bajaj Finance Limited,BAJFINANCE.BO
Balrampur Chini Mills Ltd.,BALRAMCHIN.BO
"Banco Products (India) Ltd.,",BANCOINDIA.BO
"Century Textiles & Industries Ltd.,",CENTURYTEX.BO
"Bannari Amman Sugars Ltd.,",BANARISUG.BO
BASF India Ltd,BASF.BO
Bata India Limited,BATAINDIA.BO
BEML Ltd,BEML.BO
"Bharat Electronics Ltd.,",BEL.BO
"Bhansali Engineering Polymers Ltd.,",BEPL.BO
Bihar Sponge Iron Ltd,BIHSPONG.BO
Binani Industries Limited,BINANIIND.BO
Birla Cable Limited,BIRLACABLE.BO
Blue Star Ltd,BLUESTARCO.BO
Disa India Ltd.,DISAQ.BO
QUEST CAPITAL MARKETS LIMITED,QUESTCAP.BO
"BPL Ltd.,",BPL.BO
ORIENTAL AROMATICS LIMITED,OAL.BO
"Century Extrusions Ltd.,",CENTEXT.BO
"CESC Limited,",CESC.BO
Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT.BO
"Exide Industries Ltd.,",EXIDEIND.BO
"Cipla Ltd.,",CIPLA.BO
DIC India Ltd,DICIND.BO
CRISIL Ltd.,CRISIL.BO
CG Power and Industrial Solutions Limited,CGPOWER.BO
Dabur India Ltd.,DABUR.BO
Dalmia Bharat Sugar and Industries Ltd,DALMIASUG.BO
"Arvind Ltd.,",ARVIND.BO
"Bharat Heavy Electricals Ltd.,",BHEL.BO
